"","heritablity","no_QTN","dataset","Method","correlation","sd","x_ordered","dataset_ordered"
"73","0.50","500","train","mas_glm",0.360573874785975,0.0569440096285111,"500","train"
"74","0.50","500","test","mas_glm",0.334596182797533,0.0707823086152577,"500","test"
"75","0.50","500","train","mas_gblup",0.203022509167583,0.0571437829283234,"500","train"
"76","0.50","500","test","mas_gblup",0.304768639427819,0.0999302758048086,"500","test"
"77","0.50","500","train","gs",0.363204570813664,0.152748241174701,"500","train"
"78","0.50","500","test","gs",0.243392279256249,0.0394145930674849,"500","test"
"79","0.50","500","train","svm",0.231606824751111,0.0785713353575413,"500","train"
"80","0.50","500","test","svm",0.273527207176928,0.13725204948867,"500","test"
"81","0.75","10","train","mas_glm",0.904398908927687,0.0729339825793791,"10","train"
"82","0.75","10","test","mas_glm",0.927054340843043,0.0557383090816348,"10","test"
"83","0.75","10","train","mas_gblup",0.944694055500179,0.0251363083918705,"10","train"
"84","0.75","10","test","mas_gblup",0.945744890087421,0.0171033363430006,"10","test"
"85","0.75","10","train","gs",0.953992797684102,0.0125983055865341,"10","train"
"86","0.75","10","test","gs",0.944639482814581,0.0347953356950872,"10","test"
"87","0.75","10","train","svm",0.929606772992385,0.0305273057271216,"10","train"
"88","0.75","10","test","svm",0.936769101921148,0.0187661258036232,"10","test"
"89","0.75","25","train","mas_glm",0.856603530906759,0.0830354877828557,"25","train"
"90","0.75","25","test","mas_glm",0.872037306687621,0.0566695702562354,"25","test"
"91","0.75","25","train","mas_gblup",0.809503880433592,0.0257345275553712,"25","train"
"92","0.75","25","test","mas_gblup",0.815188826405257,0.110136387433891,"25","test"
"93","0.75","25","train","gs",0.814813467968021,0.0487295626270411,"25","train"
"94","0.75","25","test","gs",0.885576958094449,0.0288796273702011,"25","test"
"95","0.75","25","train","svm",0.782451130542259,0.10632438702034,"25","train"
"96","0.75","25","test","svm",0.850177754971851,0.0646670351334226,"25","test"
"97","0.75","50","train","mas_glm",0.708688940841024,0.0280333393547524,"50","train"
"98","0.75","50","test","mas_glm",0.69639990200566,0.0799600903557787,"50","test"
"99","0.75","50","train","mas_gblup",0.559189434535316,0.10516810241327,"50","train"
"100","0.75","50","test","mas_gblup",0.620736548200716,0.0212703608348757,"50","test"
"101","0.75","50","train","gs",0.744225038099768,0.0348858430130659,"50","train"
"102","0.75","50","test","gs",0.635083865914553,0.137028122157321,"50","test"
"103","0.75","50","train","svm",0.70811663365569,0.0141125746133261,"50","train"
"104","0.75","50","test","svm",0.667773885478119,0.122597002134094,"50","test"
"105","0.75","100","train","mas_glm",0.473822984100504,0.13419205403539,"100","train"
"106","0.75","100","test","mas_glm",0.536547761584258,0.0673859692185198,"100","test"
"107","0.75","100","train","mas_gblup",0.558842806226879,0.149733126562222,"100","train"
